JMP Pump code,caterpillar Engine Model,CATERPILLAR PUMP CODE,JMP IMPELLER CODE,CAT IMPELELR CODE,Description
"JPR-CT353","D343","3N1888","8300-01","3N4859","IMPELLER"
"JPR-CT353","D353","3N1888","8300-01","3N4859","IMPELLER"
"JPR-CT3054","3054","4255411","7400-01","2637536","IMPELLER"
"JPR-CT3054","3056","4255411","7400-01","2637536","IMPELLER"
"JPR-CT3306","3306 SERIES","5N9357","8100-01","5N9360","IMPELLER"
"JPR-CT3406","3406 SERIES","3N4851","8300-01","3N4859","IMPELLER"
"JPR-CT3408","3408 SERIES","3N7714","IMP002602","3N8214","IMPELLER"
"JPR-CT3412","3412 SERIES","3N7790","IMP0026","3N8449","IMPELLER"
"JPR-CT3412","3412 SERIES","7C3613","IMP0026","3N8449","IMPELLER"
"JPR-CT3508","3508 SERIES","5N2600","IMP0063","5N2618","IMPELLER"
"JPR-CT3508","3508 SERIES","7C3614","IMP0063","5N2618","IMPELLER"
"JPR-CT0150","C1.5","425-5421","7100-01","232-3198","IMPELLER"
"JPR-CT0150","C2.2","425-5421","7100-01","232-3198","IMPELLER"
"JPR-CT0440","C 4.4","4255412","7400-01","2637536","IMPELLER"
"JPR-S7632","C7","1674252","7608-01","7E0321","IMPELLER-PUMP"
"JPR-S7632","C7","1706116","7608-01","7E0321","IMPELLER-PUMP"
"JPR-S7632","C9","1674252","7608-01","7E0321","IMPELLER-PUMP"
"JPR-S7632","C9","1706116","7608-01","7E0321","IMPELLER-PUMP"
"JPR-CT1200R","C12","3596661","8359-01","2968388","IMPELLER"
"JPR-CT1800R","C18","3754703","8359-01","2968388","IMPELLER"
"JPR-CT3200R","C32","3228594","8459-01","3228595","IMPELLER"