Pump Name,Engine Model,Pump P/N,JMP,OEM,Description,QTY,Remark
"JPR-NL08IH","M673 SERIES","25-12007","JPR-NL08IH","NORTHERN LIGHTS","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-NL08IH","M673 SERIES","25-12007","BER0053","NORTHERN LIGHTS","BALL BEARING","2",
"JPR-NL08IH","M673 SERIES","25-12007","144","NORTHERN LIGHTS","SCREW, END COVER","6",
"JPR-NL08IH","M673 SERIES","25-12007","COV0042","NORTHERN LIGHTS","END COVER","1",
"JPR-NL08IH","M673 SERIES","25-12007","7070-01","NORTHERN LIGHTS","IMPELLER","1",
"JPR-NL08IH","M673 SERIES","25-12007","MCSSET0018","NORTHERN LIGHTS","MECHANICAL SEAL SET","1",
"JPR-NL08IH","M673 SERIES","25-12007","ORG0052","NORTHERN LIGHTS","O-RING, END COVER","1",
"JPR-NL08IH","M673 SERIES","25-12007","ORG0056","NORTHERN LIGHTS","O-RING, MOUNTING","1",
"JPR-NL08IH","M673 SERIES","25-12007","RET0043","NORTHERN LIGHTS","OIL SEAL","1",
"JPR-NL08IH","M673 SERIES","25-12007","SHA0094","NORTHERN LIGHTS","SHAFT","1",
"JPR-NL08IH","M673 SERIES","25-12007","SNP0025","NORTHERN LIGHTS","SNAP RING (BEARING)","1",
"JPR-NL08IH","M673 SERIES","25-12007","JSM0088","NORTHERN LIGHTS","MINOR KIT","1",
"JPR-NL08IH","M673 SERIES","25-12007","JSK0081","NORTHERN LIGHTS","MAJOR KIT","1",
"JPR-NL10IP","M843","25-12057","JPR-NL10IP","NORTHERN LIGHTS","SEA WATER PUMP","1","RE-ENGINEERED"
"JPR-NL10IP","M844 SERIES","25-12057","JPR-NL10IP","NORTHERN LIGHTS","SEA WATER PUMP","1","RE-ENGINEERED"
"JPR-NL10IP","M843","25-12057","JPR-NL10IP2","NORTHERN LIGHTS","SEA WATER PUMP","1","RE-ENGINEERED"
"JPR-NL10IP","M844 SERIES","25-12057","JPR-NL10IP2","NORTHERN LIGHTS","SEA WATER PUMP","1","RE-ENGINEERED"
"JPR-NL10IP","M843","25-12057","BER0050","NORTHERN LIGHTS","BALL BEARING","2",
"JPR-NL10IP","M844 SERIES","25-12057","BER0050","NORTHERN LIGHTS","BALL BEARING","2",
"JPR-NL10IP","M843","25-12057","80","NORTHERN LIGHTS","SCREW, END COVER","6",
"JPR-NL10IP","M844 SERIES","25-12057","80","NORTHERN LIGHTS","SCREW, END COVER","6",
"JPR-NL10IP","M843","25-12057","CAMSET0033","NORTHERN LIGHTS","CAM KIT","1","WITH SCREW, GAKSET"
"JPR-NL10IP","M844 SERIES","25-12057","CAMSET0033","NORTHERN LIGHTS","CAM KIT","1","WITH SCREW, GAKSET"
"JPR-NL10IP","M843","25-12057","COV0003","NORTHERN LIGHTS","END COVER","1",
"JPR-NL10IP","M844 SERIES","25-12057","COV0003","NORTHERN LIGHTS","END COVER","1",
"JPR-NL10IP","M843","25-12057","7100-01","NORTHERN LIGHTS","IMPELLER","1",
"JPR-NL10IP","M844 SERIES","25-12057","7100-01","NORTHERN LIGHTS","IMPELLER","1",
"JPR-NL10IP","M843","25-12057","MCSSET0008","NORTHERN LIGHTS","MECHANICAL SEAL SET","1",
"JPR-NL10IP","M844 SERIES","25-12057","MCSSET0008","NORTHERN LIGHTS","MECHANICAL SEAL SET","1",
"JPR-NL10IP","M843","25-12057","ORG0013","NORTHERN LIGHTS","O-RING, END COVER","1",
"JPR-NL10IP","M844 SERIES","25-12057","ORG0013","NORTHERN LIGHTS","O-RING, END COVER","1",
"JPR-NL10IP","M843","25-12057","ORG0044","NORTHERN LIGHTS","O-RING","1",
"JPR-NL10IP","M844 SERIES","25-12057","ORG0044","NORTHERN LIGHTS","O-RING","1",
"JPR-NL10IP","M843","25-12057","RET0038","NORTHERN LIGHTS","OIL SEAL","1",
"JPR-NL10IP","M844 SERIES","25-12057","RET0038","NORTHERN LIGHTS","OIL SEAL","1",
"JPR-NL10IP","M843","25-12057","SHA0085","NORTHERN LIGHTS","SHAFT","1","JPR-NL10IP"
"JPR-NL10IP","M844 SERIES","25-12057","SHA0085","NORTHERN LIGHTS","SHAFT","1","JPR-NL10IP"
"JPR-NL10IP","M843","25-12057","SHA0086","NORTHERN LIGHTS","SHAFT","1","JPR-NL10IP2"
"JPR-NL10IP","M844 SERIES","25-12057","SHA0086","NORTHERN LIGHTS","SHAFT","1","JPR-NL10IP2"
"JPR-NL10IP","M843","25-12057","SNP0006","NORTHERN LIGHTS","SNAP RING (M-SEAL)","1",
"JPR-NL10IP","M844 SERIES","25-12057","SNP0006","NORTHERN LIGHTS","SNAP RING (M-SEAL)","1",
"JPR-NL10IP","M843","25-12057","SNP0009","NORTHERN LIGHTS","SNAP RING (BEARING)","1",
"JPR-NL10IP","M844 SERIES","25-12057","SNP0009","NORTHERN LIGHTS","SNAP RING (BEARING)","1",
"JPR-NL10IP","M843","25-12057","WER0006","NORTHERN LIGHTS","WEAR PLATE","1",
"JPR-NL10IP","M844 SERIES","25-12057","WER0006","NORTHERN LIGHTS","WEAR PLATE","1",
"JPR-NL10IP","M843","25-12057","JSM0090","NORTHERN LIGHTS","MINOR KIT","1","JPR-NL10IP(2)"
"JPR-NL10IP","M844 SERIES","25-12057","JSM0090","NORTHERN LIGHTS","MINOR KIT","1","JPR-NL10IP(2)"
"JPR-NL10IP","M843","25-12057","JSK0073","NORTHERN LIGHTS","MAJOR KIT (JPR-NL10IP)","1","ALL INTERNAL PARTS"
"JPR-NL10IP","M844 SERIES","25-12057","JSK0073","NORTHERN LIGHTS","MAJOR KIT (JPR-NL10IP)","1","ALL INTERNAL PARTS"
"JPR-NL10IP","M843","25-12057","JSK0074","NORTHERN LIGHTS","MAJOR KIT (JPR-NL10IP2)","1","ALL INTERNAL PARTS"
"JPR-NL10IP","M844 SERIES","25-12057","JSK0074","NORTHERN LIGHTS","MAJOR KIT (JPR-NL10IP2)","1","ALL INTERNAL PARTS"
"JPR-2","M864","25-15405",,,,,"(No table data provided)"
"JPR-2","M984 SERIES","25-15405",,,,,"(No table data provided)"
"JPR-NL20IP","M944 SERIES","25-11202","JPR-NL20IP","NORTHERN LIGHTS","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-NL20IP","M944 SERIES","25-11202","BER0035","NORTHERN LIGHTS","BALL BEARING","2",
"JPR-NL20IP","M944 SERIES","25-11202","80","NORTHERN LIGHTS","SCREW, END COVER","4",
"JPR-NL20IP","M944 SERIES","25-11202","CAMSET000301","NORTHERN LIGHTS","CAM SET","1","WITH SCREW, GAKSET"
"JPR-NL20IP","M944 SERIES","25-11202","COV0047","NORTHERN LIGHTS","END COVER","1",
"JPR-NL20IP","M944 SERIES","25-11202","7400-01","NORTHERN LIGHTS","IMPELLER","1",
"JPR-NL20IP","M944 SERIES","25-11202","MCSSET0008","NORTHERN LIGHTS","MECHANICAL SEAL KIT","1",
"JPR-NL20IP","M944 SERIES","25-11202","ORG0013","NORTHERN LIGHTS","O-RING, END COVER","1",
"JPR-NL20IP","M944 SERIES","25-11202","RET0047","NORTHERN LIGHTS","OIL SEAL","1",
"JPR-NL20IP","M944 SERIES","25-11202","SHA0105","NORTHERN LIGHTS","SHAFT","1",
"JPR-NL20IP","M944 SERIES","25-11202","SNP0006","NORTHERN LIGHTS","SNAP RING (M-SEAL)","1",
"JPR-NL20IP","M944 SERIES","25-11202","SNP0010","NORTHERN LIGHTS","SNAP RING (BEARING)","1",
"JPR-NL20IP","M944 SERIES","25-11202","WER0001","NORTHERN LIGHTS","WEAR PLATE","1",
"JPR-NL20IP","M944 SERIES","25-11202","JSM0078","NORTHERN LIGHTS","MINOR KIT","1",
"JPR-NL20IP","M944 SERIES","25-11202","JSK0097","NORTHERN LIGHTS","MAJOR KIT","1","ALL INTERNAL PARTS"
"JPR-SC50IF","D9","1785018","JPR-SC50IF","SCANIA","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-SC50IF","DI12","1785018","JPR-SC50IF","SCANIA","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-SC50IF","DI13","1785018","JPR-SC50IF","SCANIA","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-SC50IF","DI16 SERIES","1785018","JPR-SC50IF","SCANIA","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-SC50IF","D9","1785018","JPR-SC50IF2","SCANIA","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-SC50IF","DI12","1785018","JPR-SC50IF2","SCANIA","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-SC50IF","DI13","1785018","JPR-SC50IF2","SCANIA","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-SC50IF","DI16 SERIES","1785018","JPR-SC50IF2","SCANIA","SEA WATER PUMP","1","RE-REGINEERED"
"JPR-SC50IF","D9","1785018","BER0011","SCANIA","BALL BEARING","1",
"JPR-SC50IF","DI12","1785018","BER0011","SCANIA","BALL BEARING","1",
"JPR-SC50IF","DI13","1785018","BER0011","SCANIA","BALL BEARING","1",
"JPR-SC50IF","DI16 SERIES","1785018","BER0011","SCANIA","BALL BEARING","1",
"JPR-SC50IF","D9","1785018","81","SCANIA","SCREW for END COVER","5",
"JPR-SC50IF","DI12","1785018","81","SCANIA","SCREW for END COVER","5",
"JPR-SC50IF","DI13","1785018","81","SCANIA","SCREW for END COVER","5",
"JPR-SC50IF","DI16 SERIES","1785018","81","SCANIA","SCREW for END COVER","5",
"JPR-SC50IF","D9","1785018","CAMSET0016","SCANIA","CAM SET","1","WITH SCREW, PACKING"
"JPR-SC50IF","DI12","1785018","CAMSET0016","SCANIA","CAM SET","1","WITH SCREW, PACKING"
"JPR-SC50IF","DI13","1785018","CAMSET0016","SCANIA","CAM SET","1","WITH SCREW, PACKING"
"JPR-SC50IF","DI16 SERIES","1785018","CAMSET0016","SCANIA","CAM SET","1","WITH SCREW, PACKING"
"JPR-SC50IF","D9","1785018","COV0005","SCANIA","END COVER","1",
"JPR-SC50IF","DI12","1785018","COV0005","SCANIA","END COVER","1",
"JPR-SC50IF","DI13","1785018","COV0005","SCANIA","END COVER","1",
"JPR-SC50IF","DI16 SERIES","1785018","COV0005","SCANIA","END COVER","1",
"JPR-SC50IF","D9","1785018","8301-01","SCANIA","IMPELLER","1",
"JPR-SC50IF","DI12","1785018","8301-01","SCANIA","IMPELLER","1",
"JPR-SC50IF","DI13","1785018","8301-01","SCANIA","IMPELLER","1",
"JPR-SC50IF","DI16 SERIES","1785018","8301-01","SCANIA","IMPELLER","1",
"JPR-SC50IF","D9","1785018","MCSSET0003","SCANIA","MECHANICAL SEAL SET","1",
"JPR-SC50IF","DI12","1785018","MCSSET0003","SCANIA","MECHANICAL SEAL SET","1",
"JPR-SC50IF","DI13","1785018","MCSSET0003","SCANIA","MECHANICAL SEAL SET","1",
"JPR-SC50IF","DI16 SERIES","1785018","MCSSET0003","SCANIA","MECHANICAL SEAL SET","1",
"JPR-SC50IF","D9","1785018","ORG0015","SCANIA","O-RING for END COVER","1",
"JPR-SC50IF","DI12","1785018","ORG0015","SCANIA","O-RING for END COVER","1",
"JPR-SC50IF","DI13","1785018","ORG0015","SCANIA","O-RING for END COVER","1",
"JPR-SC50IF","DI16 SERIES","1785018","ORG0015","SCANIA","O-RING for END COVER","1",
"JPR-SC50IF","D9","1785018","KEY0036","SCANIA","KEY, DRIVE","1","JPR-SC50IF2"
"JPR-SC50IF","DI12","1785018","KEY0036","SCANIA","KEY, DRIVE","1","JPR-SC50IF2"
"JPR-SC50IF","DI13","1785018","KEY0036","SCANIA","KEY, DRIVE","1","JPR-SC50IF2"
"JPR-SC50IF","DI16 SERIES","1785018","KEY0036","SCANIA","KEY, DRIVE","1","JPR-SC50IF2"
"JPR-SC50IF","D9","1785018","RET0012","SCANIA","OIL SEAL","1",
"JPR-SC50IF","DI12","1785018","RET0012","SCANIA","OIL SEAL","1",
"JPR-SC50IF","DI13","1785018","RET0012","SCANIA","OIL SEAL","1",
"JPR-SC50IF","DI16 SERIES","1785018","RET0012","SCANIA","OIL SEAL","1",
"JPR-SC50IF","D9","1785018","SHA0083","SCANIA","SHAFT","1","JPR-SC50IF"
"JPR-SC50IF","DI12","1785018","SHA0083","SCANIA","SHAFT","1","JPR-SC50IF"
"JPR-SC50IF","DI13","1785018","SHA0083","SCANIA","SHAFT","1","JPR-SC50IF"
"JPR-SC50IF","DI16 SERIES","1785018","SHA0083","SCANIA","SHAFT","1","JPR-SC50IF"
"JPR-SC50IF","D9","1785018","SHA008301","SCANIA","SHAFT","1","JPR-SC50IF2"
"JPR-SC50IF","DI12","1785018","SHA008301","SCANIA","SHAFT","1","JPR-SC50IF2"
"JPR-SC50IF","DI13","1785018","SHA008301","SCANIA","SHAFT","1","JPR-SC50IF2"
"JPR-SC50IF","DI16 SERIES","1785018","SHA008301","SCANIA","SHAFT","1","JPR-SC50IF2"
"JPR-SC50IF","D9","1785018","SLI0003","SCANIA","SLINGER","1",
"JPR-SC50IF","DI12","1785018","SLI0003","SCANIA","SLINGER","1",
"JPR-SC50IF","DI13","1785018","SLI0003","SCANIA","SLINGER","1",
"JPR-SC50IF","DI16 SERIES","1785018","SLI0003","SCANIA","SLINGER","1",
"JPR-SC50IF","D9","1785018","SNP0005","SCANIA","SNAP RING","1",
"JPR-SC50IF","DI12","1785018","SNP0005","SCANIA","SNAP RING","1",
"JPR-SC50IF","DI13","1785018","SNP0005","SCANIA","SNAP RING","1",
"JPR-SC50IF","DI16 SERIES","1785018","SNP0005","SCANIA","SNAP RING","1",
"JPR-SC50IF","D9","1785018","SNP0014","SCANIA","SNAP RING","1",
"JPR-SC50IF","DI12","1785018","SNP0014","SCANIA","SNAP RING","1",
"JPR-SC50IF","DI13","1785018","SNP0014","SCANIA","SNAP RING","1",
"JPR-SC50IF","DI16 SERIES","1785018","SNP0014","SCANIA","SNAP RING","1",
"JPR-SC50IF","D9","1785018","WER0003","SCANIA","WEAR PLATE","1",
"JPR-SC50IF","DI12","1785018","WER0003","SCANIA","WEAR PLATE","1",
"JPR-SC50IF","DI13","1785018","WER0003","SCANIA","WEAR PLATE","1",
"JPR-SC50IF","DI16 SERIES","1785018","WER0003","SCANIA","WEAR PLATE","1",
"JPR-SC50IF","D9","1785018","JSM0033","SCANIA","MINOR KIT","1","JPR-SC50IF(2)"
"JPR-SC50IF","DI12","1785018","JSM0033","SCANIA","MINOR KIT","1","JPR-SC50IF(2)"
"JPR-SC50IF","DI13","1785018","JSM0033","SCANIA","MINOR KIT","1","JPR-SC50IF(2)"
"JPR-SC50IF","DI16 SERIES","1785018","JSM0033","SCANIA","MINOR KIT","1","JPR-SC50IF(2)"
"JPR-SC50IF","D9","1785018","JSK0028","SCANIA","MAJOR KIT (JPR-SC50IF)","1","ALL INTERNAL PARTS"
"JPR-SC50IF","DI12","1785018","JSK0028","SCANIA","MAJOR KIT (JPR-SC50IF)","1","ALL INTERNAL PARTS"
"JPR-SC50IF","DI13","1785018","JSK0028","SCANIA","MAJOR KIT (JPR-SC50IF)","1","ALL INTERNAL PARTS"
"JPR-SC50IF","DI16 SERIES","1785018","JSK0028","SCANIA","MAJOR KIT (JPR-SC50IF)","1","ALL INTERNAL PARTS"
"JPR-SC50IF","D9","1785018","JSK002801","SCANIA","MAJOR KIT (JPR-SC50IF2)","1","ALL INTERNAL PARTS"
"JPR-SC50IF","DI12","1785018","JSK002801","SCANIA","MAJOR KIT (JPR-SC50IF2)","1","ALL INTERNAL PARTS"
"JPR-SC50IF","DI13","1785018","JSK002801","SCANIA","MAJOR KIT (JPR-SC50IF2)","1","ALL INTERNAL PARTS"
"JPR-SC50IF","DI16 SERIES","1785018","JSK002801","SCANIA","MAJOR KIT (JPR-SC50IF2)","1","ALL INTERNAL PARTS"
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","JPR-SC5000B","SCANIA","SEA WATER PUMP","1","NOT AVILABLE"
"JPR-SC5000B","DI12","1934597","JPR-SC5000B","SCANIA","SEA WATER PUMP","1","NOT AVILABLE"
"JPR-SC5000B","DI13","1934597","JPR-SC5000B","SCANIA","SEA WATER PUMP","1","NOT AVILABLE"
"JPR-SC5000B","DI16 SERIES","1934597","JPR-SC5000B","SCANIA","SEA WATER PUMP","1","NOT AVILABLE"
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","BER0024","SCANIA","BEARING","1",
"JPR-SC5000B","DI12","1934597","BER0024","SCANIA","BEARING","1",
"JPR-SC5000B","DI13","1934597","BER0024","SCANIA","BEARING","1",
"JPR-SC5000B","DI16 SERIES","1934597","BER0024","SCANIA","BEARING","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","BER0057","SCANIA","BEARING","1",
"JPR-SC5000B","DI12","1934597","BER0057","SCANIA","BEARING","1",
"JPR-SC5000B","DI13","1934597","BER0057","SCANIA","BEARING","1",
"JPR-SC5000B","DI16 SERIES","1934597","BER0057","SCANIA","BEARING","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","38","SCANIA","SPRING WASHER","3",
"JPR-SC5000B","DI12","1934597","38","SCANIA","SPRING WASHER","3",
"JPR-SC5000B","DI13","1934597","38","SCANIA","SPRING WASHER","3",
"JPR-SC5000B","DI16 SERIES","1934597","38","SCANIA","SPRING WASHER","3",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","114","SCANIA","HEX BOLT","2",
"JPR-SC5000B","DI12","1934597","114","SCANIA","HEX BOLT","2",
"JPR-SC5000B","DI13","1934597","114","SCANIA","HEX BOLT","2",
"JPR-SC5000B","DI16 SERIES","1934597","114","SCANIA","HEX BOLT","2",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","115","SCANIA","NYLON NUT","2",
"JPR-SC5000B","DI12","1934597","115","SCANIA","NYLON NUT","2",
"JPR-SC5000B","DI13","1934597","115","SCANIA","NYLON NUT","2",
"JPR-SC5000B","DI16 SERIES","1934597","115","SCANIA","NYLON NUT","2",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","151","SCANIA","HEX BOLT","2",
"JPR-SC5000B","DI12","1934597","151","SCANIA","HEX BOLT","2",
"JPR-SC5000B","DI13","1934597","151","SCANIA","HEX BOLT","2",
"JPR-SC5000B","DI16 SERIES","1934597","151","SCANIA","HEX BOLT","2",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","155","SCANIA","LOCK WASHER","1",
"JPR-SC5000B","DI12","1934597","155","SCANIA","LOCK WASHER","1",
"JPR-SC5000B","DI13","1934597","155","SCANIA","LOCK WASHER","1",
"JPR-SC5000B","DI16 SERIES","1934597","155","SCANIA","LOCK WASHER","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","203","SCANIA","SLOTTED NUT","1",
"JPR-SC5000B","DI12","1934597","203","SCANIA","SLOTTED NUT","1",
"JPR-SC5000B","DI13","1934597","203","SCANIA","SLOTTED NUT","1",
"JPR-SC5000B","DI16 SERIES","1934597","203","SCANIA","SLOTTED NUT","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","204","SCANIA","HEX BOLT","3",
"JPR-SC5000B","DI12","1934597","204","SCANIA","HEX BOLT","3",
"JPR-SC5000B","DI13","1934597","204","SCANIA","HEX BOLT","3",
"JPR-SC5000B","DI16 SERIES","1934597","204","SCANIA","HEX BOLT","3",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","205","SCANIA","NYLON NUT","2",
"JPR-SC5000B","DI12","1934597","205","SCANIA","NYLON NUT","2",
"JPR-SC5000B","DI13","1934597","205","SCANIA","NYLON NUT","2",
"JPR-SC5000B","DI16 SERIES","1934597","205","SCANIA","NYLON NUT","2",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","IMP0073","SCANIA","IMPELLER","1",
"JPR-SC5000B","DI12","1934597","IMP0073","SCANIA","IMPELLER","1",
"JPR-SC5000B","DI13","1934597","IMP0073","SCANIA","IMPELLER","1",
"JPR-SC5000B","DI16 SERIES","1934597","IMP0073","SCANIA","IMPELLER","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","MCSSET0010","SCANIA","MECHANICAL SEAL","1",
"JPR-SC5000B","DI12","1934597","MCSSET0010","SCANIA","MECHANICAL SEAL","1",
"JPR-SC5000B","DI13","1934597","MCSSET0010","SCANIA","MECHANICAL SEAL","1",
"JPR-SC5000B","DI16 SERIES","1934597","MCSSET0010","SCANIA","MECHANICAL SEAL","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","NIP0008","SCANIA","PLUG","1",
"JPR-SC5000B","DI12","1934597","NIP0008","SCANIA","PLUG","1",
"JPR-SC5000B","DI13","1934597","NIP0008","SCANIA","PLUG","1",
"JPR-SC5000B","DI16 SERIES","1934597","NIP0008","SCANIA","PLUG","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","ORG002901","SCANIA","O-RING","1",
"JPR-SC5000B","DI12","1934597","ORG002901","SCANIA","O-RING","1",
"JPR-SC5000B","DI13","1934597","ORG002901","SCANIA","O-RING","1",
"JPR-SC5000B","DI16 SERIES","1934597","ORG002901","SCANIA","O-RING","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","PORT002","SCANIA","PORT PLATE","2",
"JPR-SC5000B","DI12","1934597","PORT002","SCANIA","PORT PLATE","2",
"JPR-SC5000B","DI13","1934597","PORT002","SCANIA","PORT PLATE","2",
"JPR-SC5000B","DI16 SERIES","1934597","PORT002","SCANIA","PORT PLATE","2",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","RET0023","SCANIA","OIL SEAL","1",
"JPR-SC5000B","DI12","1934597","RET0023","SCANIA","OIL SEAL","1",
"JPR-SC5000B","DI13","1934597","RET0023","SCANIA","OIL SEAL","1",
"JPR-SC5000B","DI16 SERIES","1934597","RET0023","SCANIA","OIL SEAL","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","RIG0003","SCANIA","RING","1",
"JPR-SC5000B","DI12","1934597","RIG0003","SCANIA","RING","1",
"JPR-SC5000B","DI13","1934597","RIG0003","SCANIA","RING","1",
"JPR-SC5000B","DI16 SERIES","1934597","RIG0003","SCANIA","RING","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","SHA0155","SCANIA","SHAFT","1",
"JPR-SC5000B","DI12","1934597","SHA0155","SCANIA","SHAFT","1",
"JPR-SC5000B","DI13","1934597","SHA0155","SCANIA","SHAFT","1",
"JPR-SC5000B","DI16 SERIES","1934597","SHA0155","SCANIA","SHAFT","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","SNP0014","SCANIA","SNAP RING","2",
"JPR-SC5000B","DI12","1934597","SNP0014","SCANIA","SNAP RING","2",
"JPR-SC5000B","DI13","1934597","SNP0014","SCANIA","SNAP RING","2",
"JPR-SC5000B","DI16 SERIES","1934597","SNP0014","SCANIA","SNAP RING","2",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","SPC0004","SCANIA","SEAL SPACER","1",
"JPR-SC5000B","DI12","1934597","SPC0004","SCANIA","SEAL SPACER","1",
"JPR-SC5000B","DI13","1934597","SPC0004","SCANIA","SEAL SPACER","1",
"JPR-SC5000B","DI16 SERIES","1934597","SPC0004","SCANIA","SEAL SPACER","1",
"JPR-SC5000B","D9    (KEEL COOLING)","1934597","SPC0026","SCANIA","COLLAR SEAL","1",
"JPR-SC5000B","DI12","1934597","SPC0026","SCANIA","COLLAR SEAL","1",
"JPR-SC5000B","DI13","1934597","SPC0026","SCANIA","COLLAR SEAL","1",
"JPR-SC5000B","DI16 SERIES","1934597","SPC0026","SCANIA","COLLAR SEAL","1",