Pump Name,Engine Model,Pump P/N,Weight(Appx),No,JMP,OEM,Description,QTY,Remark
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","1","JPR-VP2799G","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","2","192","VOLVO PENTA","21951332 / SCREW, PUMP BODY","4",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","3","7136-01","VOLVO PENTA","21213664 / IMPELLER","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","4","ORG000101","VOLVO PENTA","O-RING, SCREW","4",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","5","ORG0052","VOLVO PENTA","3858938 / O-RING, IMPELLER","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","6","PBC0247","VOLVO PENTA","PUMP BODY","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","7","RET0013","VOLVO PENTA","827247 / LIP SEAL","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","8","SPC0033","VOLVO PENTA","SUPPORT RUBBER BUSH","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","9","PUK0157","VOLVO PENTA","DRIVE ASSY (PULLEY, SHAFT, BEARING, SNAP RING, BEARING HOUSING)","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","1","JPR-VP2800G","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","2","192","VOLVO PENTA","21951332 / SCREW, PUMP BODY","4",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","3","7136-01","VOLVO PENTA","21213664 / IMPELLER","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","4","ORG000101","VOLVO PENTA","O-RING, SCREW","4",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","5","ORG0052","VOLVO PENTA","3858938 / O-RING, IMPELLER","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","6","PBC0247","VOLVO PENTA","PUMP BODY","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","7","RET0013","VOLVO PENTA","827247 / LIP SEAL","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","8","SPC0033","VOLVO PENTA","SUPPORT RUBBER BUSH","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","9","PUK0158","VOLVO PENTA","DRIVE ASSY (PULLEY, SHAFT, BEARING, SNAP RING, BEARING HOUSING)","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","1","JPR-VP5090G","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","2","192","VOLVO PENTA","21951332 / SCREW, PUMP BODY","4",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","3","7136-01","VOLVO PENTA","21213664 / IMPELLER","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","4","ORG000101","VOLVO PENTA","O-RING, SCREW","4",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","5","ORG0052","VOLVO PENTA","3858938 / O-RING, IMPELLER","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","6","PBC0247","VOLVO PENTA","PUMP BODY","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","7","RET0013","VOLVO PENTA","827247 / LIP SEAL","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","8","SPC0033","VOLVO PENTA","SUPPORT RUBBER BUSH","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","9","PUK0159","VOLVO PENTA","DRIVE ASSY (PULLEY, SHAFT, BEARING, SNAP RING, BEARING HOUSING)","1",
"JPR-VP4596G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21214596","2.73kg","1","JPR-VP4596G","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP4596G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21214596","2.73kg","2","182","VOLVO PENTA","22125080 / SCREW, PUMP BODY","4",
"JPR-VP4596G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21214596","2.73kg","3","7100-01","VOLVO PENTA","21951348 / IMPELLER","1",
"JPR-VP4596G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21214596","2.73kg","4","ORG0052","VOLVO PENTA","3858938 / O-RING, IMPELLER","1",
"JPR-VP4596G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21214596","2.73kg","5","PBC0246","VOLVO PENTA","22125080 / PUMP BODY","1",
"JPR-VP4596G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21214596","2.73kg","6","RET0013","VOLVO PENTA","827247 / LIP SEAL","1",
"JPR-VP4596G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21214596","2.73kg","7","PUK0154","VOLVO PENTA","DRIVE ASSY (PULLEY, SHAFT, BEARING, SNAP RING, BEARING HOUSING)","1",
"JPR-VP4599G","3.0GS, 4.3/5.0GL, 4.3/5.0Gi, 4.3/5.0GXi, 5.7GS, 5.7Gi","21214599","2.66kg","1","JPR-VP4599G","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP4599G","3.0GS, 4.3/5.0GL, 4.3/5.0Gi, 4.3/5.0GXi, 5.7GS, 5.7Gi","21214599","2.66kg","2","182","VOLVO PENTA","22125080 / SCREW, PUMP BODY","4",
"JPR-VP4599G","3.0GS, 4.3/5.0GL, 4.3/5.0Gi, 4.3/5.0GXi, 5.7GS, 5.7Gi","21214599","2.66kg","3","7100-01","VOLVO PENTA","21951348 / IMPELLER","1",
"JPR-VP4599G","3.0GS, 4.3/5.0GL, 4.3/5.0Gi, 4.3/5.0GXi, 5.7GS, 5.7Gi","21214599","2.66kg","4","ORG0052","VOLVO PENTA","3858938 / O-RING, IMPELLER","1",
"JPR-VP4599G","3.0GS, 4.3/5.0GL, 4.3/5.0Gi, 4.3/5.0GXi, 5.7GS, 5.7Gi","21214599","2.66kg","5","PBC0246","VOLVO PENTA","22125080 / PUMP BODY","1",
"JPR-VP4599G","3.0GS, 4.3/5.0GL, 4.3/5.0Gi, 4.3/5.0GXi, 5.7GS, 5.7Gi","21214599","2.66kg","6","RET0013","VOLVO PENTA","827247 / LIP SEAL","1",
"JPR-VP4599G","3.0GS, 4.3/5.0GL, 4.3/5.0Gi, 4.3/5.0GXi, 5.7GS, 5.7Gi","21214599","2.66kg","7","PUK0155","VOLVO PENTA","DRIVE ASSY (PULLEY, SHAFT, BEARING, SNAP RING, BEARING HOUSING)","1",
"JPR-VP4601G","8.1Gi, DPX375/420","21214601","2.14kg","1","JPR-VP4601G","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP4601G","8.1Gi, DPX375/420","21214601","2.14kg","2","182","VOLVO PENTA","22125080 / SCREW, PUMP BODY","4",
"JPR-VP4601G","8.1Gi, DPX375/420","21214601","2.14kg","3","7100-01","VOLVO PENTA","21951348 / IMPELLER","1",
"JPR-VP4601G","8.1Gi, DPX375/420","21214601","2.14kg","4","ORG0052","VOLVO PENTA","3858938 / O-RING, IMPELLER","1",
"JPR-VP4601G","8.1Gi, DPX375/420","21214601","2.14kg","5","PBC0246","VOLVO PENTA","22125080 / PUMP BODY","1",
"JPR-VP4601G","8.1Gi, DPX375/420","21214601","2.14kg","6","RET0013","VOLVO PENTA","827247 / LIP SEAL","1",
"JPR-VP4601G","8.1Gi, DPX375/420","21214601","2.14kg","7","PUK0156","VOLVO PENTA","DRIVE ASSY (PULLEY, SHAFT, BEARING, SNAP RING, BEARING HOUSING)","1",
"JPR-V1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg",,,,,,"(No table lines in the text - see JPR-VV1000 more below)"
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","1","JPR-VV1000","VOLVO PENTA","SEA WATER PUMP (RE-REGINEERED)","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","2","BER0029","VOLVO PENTA","11010 / BALL BEARING","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","3","80","VOLVO PENTA","841693 / SCREW, END COVER","6",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","4","CAMSET000301","VOLVO PENTA","CAM SET (WITH SCREW, PACKING)","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","5","COV000301","VOLVO PENTA","860751 / END COVER","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","6","7400-01","VOLVO PENTA","21951356 / IMPELLER","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","7","MCSSET0008","VOLVO PENTA","827247 / MECHANICAL SEAL","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","8","ORG0013","VOLVO PENTA","3581618 / O-RING, END COVER","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","9","ORG0044","VOLVO PENTA","960166 / O-RING, SLINGER","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","10","RET0044","VOLVO PENTA","827247 / OIL SEAL","2",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","11","SHA0097","VOLVO PENTA","21951457 / SHAFT","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","12","SNP0002","VOLVO PENTA","SNAP RING (SMALL)","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","13","SNP0009","VOLVO PENTA","914523 / SNAP RING (LARGE)","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","14","SPC0019","VOLVO PENTA","844580 / SPACER","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","15","WER0001","VOLVO PENTA","WEAR PLATE","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","16","JSM0030","VOLVO PENTA","MINOR KIT","1",
"JPR-VV1000","8AD31/MD31/AD41/KA(M)D42/43/44 SERIES","860629, 3581588, 3583115","2.4kg","17","JSK0085","VOLVO PENTA","MAJOR KIT - ALL INTERNAL PARTS","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","1","JPR-V2000","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","2","BER0005","VOLVO PENTA","11013 / BALL BEARING","2",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","3","99","VOLVO PENTA","959931 / SCREW, END COVER","5",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","4","CAMSET000502","VOLVO PENTA","849321 / CAM SET (WITH SCREW & PACKING)","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","5","COV0006","VOLVO PENTA","863497 / END COVER","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","6","GAK0007","VOLVO PENTA","3829314 (OLD 825728) / GASKET, END COVER","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","7","8100-01","VOLVO PENTA","21730344 (OLD 875736) / IMPELLER","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","8","KEY0012","VOLVO PENTA","942406 / KEY, WOODRUFF","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","9","MCSSET0003","VOLVO PENTA","822767 / MECHANICAL SEAL KIT","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","10","RET001301","VOLVO PENTA","825737 / OIL SEAL","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","11","SHA0027","VOLVO PENTA","822789 / SHAFT","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","12","SLI0003","VOLVO PENTA","826234 / SLINGER","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","13","SNP0013","VOLVO PENTA","825735 / SNAP RING","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","14","WER0009","VOLVO PENTA","826230 / WEAR PLATE","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","15","JSM000701","VOLVO PENTA","MINOR KIT","1",
"JPR-V2000","T(A)MD 100,120,121,122 SERIES","822787","7.7kg","16","JSK0029","VOLVO PENTA","MAJOR KIT - ALL INTERNAL PARTS","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"1","JPR-V3000","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"2","BER0005","VOLVO PENTA","11013 / BALL BEARING","2",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"3","99","VOLVO PENTA","959931 / SCREW, END COVER","5",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"4","CAMSET0011","VOLVO PENTA","845968 / CAMSET (WITH SCREW & PACKING)","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"5","COV0006","VOLVO PENTA","847228 / END COVER","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"6","GAK0007","VOLVO PENTA","3829314 / GASKET, END COVER","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"7","8301-01","VOLVO PENTA","875814 / IMPELLER","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"8","KEY0012","VOLVO PENTA","942406 / KEY, WOODRUFF","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"9","MCSSET0003","VOLVO PENTA","3829315 (OLD 812968) / MECHANICAL SEAL KIT","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"10","RET001301","VOLVO PENTA","845795 / OIL SEAL","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"11","SHA0028","VOLVO PENTA","845970 / SHAFT","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"12","SLI0003","VOLVO PENTA","812964 / SLINGER","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"13","SNP0013","VOLVO PENTA","825735 / SNAP RING","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"14","WER0009","VOLVO PENTA","826230 / WEAR PLATE","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"15","JSM0031","VOLVO PENTA","MINOR KIT","1",
"JPR-V3000","TAMD 102,103,120,122","3829313, 3829312",,"16","JSK0030","VOLVO PENTA","MAJOR KIT - ALL INTERNAL PARTS","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","1","JPR-V5000","VOLVO PENTA","SEA WATER PUMP (RE-REGINEERED)","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","2","BER0005","VOLVO PENTA","11013 / BALL BEARING","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","3","BER0019","VOLVO PENTA","3826173 / ROLLER BEARING","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","4","BER0020","VOLVO PENTA","3839505 / ROLLER BEARING","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","5","81","VOLVO PENTA","21951340 (Kit) / SCREW, END COVER","5",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","6","CAMSET0025","VOLVO PENTA","863496 / CAM SET (WITH SCREW, PACKING)","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","7","COV0005","VOLVO PENTA","N/A / END COVER","1","JPR-V50000"
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","8","8301-01","VOLVO PENTA","21951364 / IMPELLER","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","9","MCSSET0006","VOLVO PENTA","3829315 / MECHANICAL SEAL SET","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","10","NIP0005","VOLVO PENTA","PLUG, RING","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","11","NIP0014","VOLVO PENTA","PLUG, DRAIN","2",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","12","ORG0015","VOLVO PENTA","O-RING, END COVER","1","JPR-V50000"
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","13","RET0014","VOLVO PENTA","825737 / OIL SEAL","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","14","SHA0049","VOLVO PENTA","3837936 / SHAFT","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","15","SLI0003","VOLVO PENTA","812964 / SLINGER","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","16","SNP0005","VOLVO PENTA","3826181 / SNAP RING (SMALL)","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","17","SNP0008","VOLVO PENTA","943468 / SNAP RING (MECHANICAL SEAL)","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","18","SNP0013","VOLVO PENTA","N/A / SNAP RING (LARGE)","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","19","WER0009","VOLVO PENTA","826230 / WEAR PLATE","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","20","JSM0032","VOLVO PENTA","MINOR KIT","1",
"JPR-V5000","TAMD 162,163,165","3825493, 3837935","10.6kg","21","JSK0048","VOLVO PENTA","MAJOR KIT - ALL INTERNAL PARTS","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","1","JPR-VP0010DA","VOLVO PENTA","SEA WATER PUMP (OLD 3593660, 21381693)","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","2","BER0048","VOLVO PENTA","181717 / BALL BEARING","2",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","3","144","VOLVO PENTA","840384 / SCREW, END COVER","6",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","4","CAMSET0034","VOLVO PENTA","827009 / CAM SET","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","5","COV0048","VOLVO PENTA","840386 / END COVER (STS)","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","6","GAK0052","VOLVO PENTA","840385 / GASKET, END COVER","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","7","7051-01","VOLVO PENTA","3593659 / IMPELLER","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","8","ORG0053","VOLVO PENTA","925055 / O-RING (SLINGER)","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","9","ORG0056","VOLVO PENTA","3580063 / O-RING, MOUNTING","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","10","RET0048","VOLVO PENTA","833996 / LIP SEAL","2",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","11","SHA0107","VOLVO PENTA","SHAFT","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","12","SNP0024","VOLVO PENTA","914515 / SNAP RING (LARGE)","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","13","SNP0027","VOLVO PENTA","914446 / SNAP RING (SMALL)","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","14","SPC0027","VOLVO PENTA","3581367 / SPACER SLEEVE","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","15","SPC0029","VOLVO PENTA","859101 / WASHER","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","16","JSM0072","VOLVO PENTA","MINOR KIT","1",
"JPR-VP0010DA","D1(A)","3593654","1.1kg","17","JSK0091","VOLVO PENTA","MAJOR KIT - ALL INTERNAL PARTS","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","1","JPR-VP0010DB","VOLVO PENTA","SEA WATER PUMP (OLD 3593660, 21381693)","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","2","BER0048","VOLVO PENTA","181717 / BALL BEARING","2",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","3","144","VOLVO PENTA","840384 / SCREW, END COVER","6",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","4","CAMSET0035","VOLVO PENTA","CAM SET","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","5","COV0048","VOLVO PENTA","840386 / END COVER (STS)","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","6","GAK0052","VOLVO PENTA","840385 / GASKET, END COVER","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","7","7051-01","VOLVO PENTA","3593659 / IMPELLER","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","8","ORG0053","VOLVO PENTA","925055 / O-RING (SLINGER)","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","9","ORG0056","VOLVO PENTA","3580063 / O-RING (MOUNTING)","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","10","RET0048","VOLVO PENTA","833996 / LIP SEAL","2",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","11","SHA0108","VOLVO PENTA","SHAFT","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","12","SNP0024","VOLVO PENTA","914515 / SNAP RING (LARGE)","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","13","SNP0027","VOLVO PENTA","914446 / SNAP RING (SMALL)","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","14","SPC0027","VOLVO PENTA","3581367 / SPACER SLEEVE","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","15","SPC0029","VOLVO PENTA","859101 / WASHER","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","16","JSM0073","VOLVO PENTA","MINOR KIT","1",
"JPR-VP0010DB","D1(B)","3593655","1.2kg","17","JSK0092","VOLVO PENTA","MAJOR KIT - ALL INTERNAL PARTS","1",
"JPR-VP0020D","D2","3583089","1.6kg","1","JPR-VP0020D","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP0020D","D2","3583089","1.6kg","2","BER0046","VOLVO PENTA","860202 / BALL BEARING","2",
"JPR-VP0020D","D2","3583089","1.6kg","3","163","VOLVO PENTA","3885957 / SCREW, END COVER","4",
"JPR-VP0020D","D2","3583089","1.6kg","4","164","VOLVO PENTA","3583988 / WASHER","1",
"JPR-VP0020D","D2","3583089","1.6kg","5","COV0049","VOLVO PENTA","3583985 / END COVER (STS)","1",
