JMP Impeller,FITS_IN JMP Pump Code,EQUIVALENT_TO code,Code refers to,MANUFACTURED_BY
7050-01,JPR-WB08IP,48080,PUMP,WESTERBEKE
7172-01,JPR-WB7108,42175,PUMP,WESTERBEKE
7000-01,JPR-WB10IP,J/P 24569-03,PUMP,JOHNSON PUMP
7172-01,JPR-WB7108,G908,PUMP,SHERWOOD
7172-01,JPR-WB7108,G903,PUMP,SHERWOOD
7000-01,JPR-WB10IP,10-24569-09,PUMP,JOHNSON PUMP
7172-01,JPR-WB7108,17.0/23 EDE,ENGINE,Westerbeke
7172-01,JPR-WB7108,13.5/17.0 EDE,ENGINE,Westerbeke
7172-01,JPR-WB7108,M-35,ENGINE,Westerbeke
7172-01,JPR-WB7108,35B/C,ENGINE,Westerbeke
7172-01,JPR-WB7109,M-40B,ENGINE,Westerbeke
7172-01,JPR-WB7110,M-25XPB,ENGINE,Westerbeke
7172-01,JPR-WB7111,M3-20B,ENGINE,Westerbeke
7172-01,JPR-WB7112,5416,ENGINE,Westerbeke
7172-01,JPR-WB7113,5432,ENGINE,Westerbeke
7172-01,JPR-WB7114,5444,ENGINE,Westerbeke