JMP IMPELLER CODE,JMP Pump CODE,COMPATIBLE Engine Model,COMPATIBLE PUMP CODE,COMPATIBLE ITEMS MANUFACTURER,Remark,Engine flags
"7300-01","JPR-C1025","6BT5.9M","3907458","CUMMINS",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-C1025","6BT5.9M","3912019","CUMMINS",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-C1025","6B5.9M","3907458","CUMMINS",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-C1025","6B5.9M","3912019","CUMMINS",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-C1025","4BTA3.9M","3907458","CUMMINS",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-C1025","4BTA3.9M","3912019","CUMMINS",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-C1025","4BT3.9M","3907458","CUMMINS",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-C1025","4BT3.9M","3912019","CUMMINS",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-C1025","4B3.9M","3907458","CUMMINS",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-C1025","4B3.9M","3912019","CUMMINS",,"CUMMINS ONAN ENGINES"
"8001-01","JPR-C1040","N855M, NT855M, NTA855M","3010336 3278137","CUMMINS",,"CUMMINS ONAN ENGINES"
"7608-01","JPR-S7616","6BT","3919899 P1716","CUMMINS",,"CUMMINS ONAN ENGINES"
"7608-01","JPR-S7622","6CT","3912139 P1722","CUMMINS",,"CUMMINS ONAN ENGINES"
"7608-01","JPR-S7627","6CTA8.3M, 6CTA8.3M2","3897194","CUMMINS","SPLINE TYPE","CUMMINS ONAN ENGINES"
"7608-01","JPR-S7630","6BTA5.9M2, 6CT8.3M, 6CTA8.3M","3866493 3897691","CUMMINS",,"CUMMINS ONAN ENGINES"
"7608-01","JPR-S7608","QSB5.9, QSB6.9","5268375","CUMMINS",,"CUMMINS ONAN ENGINES"
"8159-01","JPR-C0700","QSB 7.0","2886308","CUMMINS","3972366","CUMMINS ONAN ENGINES"
"8159-01","JPR-C0830","QSC8.3, QSL9.0","3967246","CUMMINS","3972366","CUMMINS ONAN ENGINES"
"8359-01","JPR-C1100","QSM 11","3349392 4929178","CUMMINS","4933742","CUMMINS ONAN ENGINES"
"9001-01","JPR-C1905","QSK19","3866609","CUMMINS",,"CUMMINS ONAN ENGINES"
"7013-01","JPR-ON7002","ONAN MDKBH/J/W","G8002 132-0340","ONAN",,"CUMMINS ONAN ENGINES"
"7110-01","JPR-ON7102","ONAN MDKBK/L/M/N","G702 132-0459","ONAN",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-ON7310","Onan A029U129","G1010","ONAN",,"CUMMINS ONAN ENGINES"
"7300-01","JPR-ON7312","Onan A032Y747","G1012","ONAN",,"CUMMINS ONAN ENGINES"