Impeller Code,Impeller Manufacturer,Pump Name,Pump Manufacturer,Compatible Manufacturer,Compatible Manufacturer Description,Compatible Engine Model,Compatible Engine Model Description
7400-01,JMP,JPR-M25IP,JMP,,,,
8001-01,JMP,JPR-M40LH,JMP,,,,
8000-01,JMP,JPR-M40LP,JMP,,,,
8400-01,JMP,JPR-M50LPL,JMP,,,,
9100-01,JMP,JPR-M65LF,JMP,,,,
7000-01,JMP,JPR-10IP,JMP,J/P,SPX Johnson Pump - ,24569-01,
7050-01,JMP,JPR-15IP,JMP,J/P,SPX Johnson Pump,24570-01,
7100-01,JMP,JPR-20IP,JMP,J/P,SPX Johnson Pump,24571-01,
7400-01,JMP,JPR-25UP,JMP,,,,
7524-01,JMP,JPR-32LP,JMP,,,,
8001-01,JMP,JPR-40LP,JMP,,,,
8101-01,JMP,JPR-VK2000,JMP,,,,
8301-01,JMP,JPR-VK3000,JMP,,,,
8200-01,JMP,JPR-50LP,JMP,,,,
8400-01,JMP,JPR-50LPL,JMP,,,,
7524-01,JMP,JPR-32UF,JMP,,,,
8001-01,JMP,JPR-40UF,JMP,,,,
8200-01,JMP,JPR-50UF,JMP,,,,
9100-01,JMP,JPR-65LF,JMP,,,,
7400-01,JMP,JPR-D2500,JMP,HDI ,Doosan/H.Infracore,L034,
7400-01,JMP,JPR-D2505,JMP,HDI ,Doosan/H.Infracore,4V158TI,
7400-01,JMP,JPR-D2505,JMP,HDI ,Doosan/H.Infracore,4V222TI,
7400-01,JMP,JPR-D3200,JMP,HDI ,Doosan/H.Infracore,4V158TI,
7400-01,JMP,JPR-D3200,JMP,HDI ,Doosan/H.Infracore,4V222TI,
7500-01,JMP,JPR-D3200,JMP,HDI ,Doosan/H.Infracore,L066TI,
8002-01,JMP,JPR-D4000,JMP,HDI ,Doosan/H.Infracore,2156,
8002-01,JMP,JPR-D4000,JMP,HDI ,Doosan/H.Infracore,2366,
8001-01,JMP,JPR-D4005,JMP,HDI ,Doosan/H.Infracore,L136,
8001-01,JMP,JPR-D4010,JMP,HDI ,Doosan/H.Infracore,L136,
8001-01,JMP,JPR-D4010,JMP,HDI ,Doosan/H.Infracore,MD196T,
8001-01,JMP,JPR-D4010,JMP,HDI ,Doosan/H.Infracore,L136T,
8001-01,JMP,JPR-D4010,JMP,HDI ,Doosan/H.Infracore,L136TI,
8001-01,JMP,JPR-D4010,JMP,HDI ,Doosan/H.Infracore,L086TI,
8201-01,JMP,JPR-D5005,JMP,HDI ,Doosan/H.Infracore,L126TI,
8201-01,JMP,JPR-D5005,JMP,HDI ,Doosan/H.Infracore,196T(NEW),
8300-01,JMP,JPR-D5000,JMP,HDI ,Doosan/H.Infracore,,
8309-01,JMP,JPR-D5010,JMP,HDI ,Doosan/H.Infracore,4L126,
IMP0021,JMP,JPR-D6500,JMP,HDI ,Doosan/H.Infracore,V158TI,
IMP0021,JMP,JPR-D6500,JMP,HDI ,Doosan/H.Infracore,V180TI,
IMP0021,JMP,JPR-D6500,JMP,HDI ,Doosan/H.Infracore,V222TI,
IMP0021,JMP,JPR-D6505,JMP,HDI ,Doosan/H.Infracore,4V18TI,
IMP0021,JMP,JPR-D6505,JMP,HDI ,Doosan/H.Infracore,4V222TI,
8326-01,JMP,JPR-D6510,JMP,HDI ,Doosan/H.Infracore,V158TI,
8326-01,JMP,JPR-D6510,JMP,HDI ,Doosan/H.Infracore,V180TI,
8326-01,JMP,JPR-D6510,JMP,HDI ,Doosan/H.Infracore,V222TI,
8359-01,JMP,JPR-D6515,JMP,HDI ,Doosan/H.Infracore,4V158TI,
8359-01,JMP,JPR-D6515,JMP,HDI ,Doosan/H.Infracore,4V222TI,
8416-01,JMP,JPR-D6525,JMP,HDI ,Doosan/H.Infracore,4V222TIL,
7306-01,JMP,JPR-HDS125,JMP,HYUNDAI SEASALL,Famiglia motori ,U SERIES,Famiglia motori
7526-01,JMP,JPR-HDS170,JMP,HYUNDAI SEASALL,,D SERIES,Famiglia motori
7400-01,JMP,JPR-HDS200,JMP,HYUNDAI SEASALL,,R SERIES,Famiglia motori
7556-01,JMP,JPR-HDS250,JMP,HYUNDAI SEASALL,,S SERIES,Famiglia motori
8326-01,JMP,JPR-HDS400,JMP,HYUNDAI SEASALL,,H SERIES,Famiglia motori
8001-01,JMP,JPR-FU40,JMP,HYUNDAI,,H6D2TA,
8201-01,JMP,JPR-FU50,JMP,HYUNDAI,,H6D7TA,
7426-01,JMP,JPR-HME25,JMP,HYUNDAI MARINE,,M4D SERIES,Compatible Engine Model
7526-01,JMP,JPR-HME32,JMP,HYUNDAI MARINE,,M6D16 SERIES,Compatible Engine Model
8100-01,JMP,JPR-HME40A,JMP,HYUNDAI MARINE,,M6D30 SERIES,Compatible Engine Model
8301-01,JMP,JPR-HME50,JMP,HYUNDAI MARINE,,M6D33,
8301-01,JMP,JPR-HME50,JMP,HYUNDAI MARINE,,M6D35,